,Ticker,Predicted
467,DVAX,180.25244901663723
3656,LPTH,120.3556279513038
2704,TSC,26.887754578673462
966,MLSS,26.4741338130698
3369,VEEV,25.5634955957374
1270,BBGI,24.12372983522922
3590,TYL,21.963755267639502
2815,HTBI,21.765354561689378
2991,SBBX,21.37209025228896
2583,PNFP,20.34759774220132
3697,RDCM,19.783054220845564
1736,ROL,19.640696004950506
2858,NFBK,19.14783792660909
3344,OLED,18.874031646017748
2889,BWFG,18.338069921558105
2580,KRNY,17.972867972784726
3377,GWRE,17.851129133779096
2791,SBCF,17.708663525198205
3520,WK,17.00523535966892
2935,ESSA,16.985085579957072
